gene_id,alpha,f,mu,theta
LOC105447838,-0.323527803461,0.198711266229,0.00867201284719,0.0114605543541
LOC105447841,NA,0.999999999997,3.37984083079e-14,0.00217507217353
LOC105447842,-0.421052497997,0.378947553912,0.00284452946227,0.017332605297
LOC105447843,0.158829531614,0.105238708287,4.18573193194e-14,0.0162323891575
LOC105447844,0.153847262043,0.290323430135,0.0354361289356,0.0112209334758
LOC105447845,0.368420765237,0.240406069106,0.0504024739793,0.0131692935133
LOC105447846,NA,0.25778928364,1.9061447436e-13,0.00836022576628
LOC105447847,-0.71428317293,0.222310895417,0.0133123943222,0.00992310694464
LOC105447848,NA,2.34920071164e-12,1.43222162277e-13,0.00399786924337
LOC105447849,0.807486966939,0.0705351305257,0.0280746653826,0.0110189339055
LOC105447850,-1.99999735848,0.851948272596,0.0504816405373,0.00841042775652
LOC105447851,NA,0.0604875092275,0.00602150414072,0.029769259094
LOC105447852,-0.0815054776597,0.302526843509,3.34185671227e-14,0.00907825719632
LOC105447853,NA,0.269845227299,1.60283083975e-13,0.0171815042288
LOC105447854,-1.00000568887,0.194113537746,0.00459692261694,0.0132371288015
LOC105447855,-1.33332646314,0.503264719025,0.0163309968389,0.00810565442656
LOC105447856,-0.41176167507,0.133566357498,0.00576764303011,0.0115168482725
LOC105447857,0.492627087098,0.162307734441,5.52059431211e-15,0.0135547645557
LOC105447858,0.663531940578,0.158850289246,1.22096953297e-13,0.0151085191841
LOC105447860,0.30769269981,0.100883206994,0.00486300564374,0.0101076885451
LOC105447861,NA,0.102136474634,1.79846978113e-14,0.00669539549603
LOC105447863,NA,0.0242823556061,8.03232195145e-15,0.0107826512261
LOC105447865,NA,0.0701484193759,7.96747925104e-14,0.00700239188466
LOC105447866,0.799999623324,0.402476094594,0.00399488106397,0.00707339068032
LOC105447867,0.679553996132,0.022292225763,6.54838144919e-15,0.0146729709752
LOC105447868,NA,0.999999999985,1.78812134841e-14,0.0021796686469
LOC105447869,NA,5.03966631323e-13,5.7024031343e-14,0.0218323346135
LOC105447870,NA,0.028391331014,1.11838290972e-13,0.00692251897554
LOC105447871,0.839777208745,0.0632900424218,1.84089793827e-13,0.0169797140004
LOC105447872,0.571428773176,0.230204521041,0.00112643756505,0.0114127279209
LOC105447873,-1.49999797319,0.174999700278,0.0379776060572,0.00772723899116
LOC105447874,NA,0.0979835337,5.57602946761e-14,0.00582655504466
LOC105447875,0.0386625697968,0.116615646003,3.3059872558e-15,0.0066068044276
LOC105447876,NA,0.0521105910055,0.00304605901905,0.00794228115129
LOC105447877,0.249998735335,0.312766222263,0.0232550815961,0.0140746099778
LOC105447878,0.13043483492,0.0772174682503,0.00430583342759,0.0101810427293
LOC105447879,NA,0.0494284895216,5.28648759925e-14,0.0101893489643
LOC105447880,-2.06881873608,0.999999999943,0.00558619013616,0.00480356976996
LOC105447881,2.08691922354e-6,0.23911799745,0.00442049234716,0.00476720662347
LOC105447882,NA,0.168294264022,0.00426142589917,0.00544752614537
LOC105447883,0.369122015085,0.131890799959,1.43019138066e-14,0.0088698506747
LOC105447884,NA,0.132670830209,0.00443955292747,0.0114498777418
LOC105447885,-0.400000735289,0.0748734344637,3.96226029677e-4,0.0128188726124
LOC105447886,0.999999999998,8.15191754105e-14,0.0258412292318,0.00675187366872
LOC105447887,0.559387365223,0.13370535655,1.4120393362e-13,0.00949434264783
LOC105447888,0.999999999997,5.78711250357e-13,0.00409399417119,0.0117889818701
LOC105447889,0.759665392223,0.127789711518,8.6793896763e-14,0.011727080556
LOC105447890,NA,0.200436757678,4.46043500554e-14,0.0143701834074
LOC105447891,NA,0.64653013922,2.76129567973e-13,0.0130439245128
LOC105447892,0.759665538739,0.0607487556378,1.02698695245e-15,0.0101305834715
LOC105447893,NA,0.0197401886369,0.00556103879058,0.0125265326584
LOC105447894,0.282050412399,0.229890783742,0.00225510740646,0.0146492714124
LOC105447895,0.579414729013,0.125388742313,3.1926554577e-14,0.0153757846663
LOC105447896,-0.201672340141,0.257159910942,4.18326543123e-14,0.0134023762117
LOC105447897,NA,0.156529670446,7.02549832882e-15,0.00821316642999
LOC105447898,NA,0.0703183216004,0.00202637412433,0.00755598232107
LOC105447899,0.735294362602,0.0634850789766,0.00227533424144,0.00929012904622
LOC105447900,-0.502090826483,0.390063906676,2.97392920419e-14,0.010110121509
LOC105447901,0.83977688741,0.102611576907,2.11009426262e-14,0.0098332630722
LOC105447902,NA,0.174247490168,3.95438331294e-14,0.0132273226514
LOC105447903,NA,0.0536842747013,1.8816726643e-15,0.0125699710059
LOC105447904,0.270269373955,0.526337210424,0.00474685704844,0.00886630460095
LOC105447905,0.619564479811,0.0541666503482,0.00722505581803,0.0170835512496
LOC105447906,0.519330567224,0.250633702974,5.51050804954e-14,0.0104130555033
LOC105447907,NA,0.0387773520252,0.00109090344169,0.0167545972843
LOC105447908,0.749999632129,0.121963396175,3.53631008983e-4,0.016820851908
LOC105447909,NA,0.228524683999,1.59898778899e-14,0.00607771201736
LOC105447910,-0.393575982086,0.99999999999,0.0367281331027,0.0058244850968
LOC105447911,NA,9.92495089377e-15,0.0147046801091,0.00384209100473
LOC105447912,0.519330751087,0.0610818719534,8.26962036066e-15,0.0121274763137
LOC105447913,NA,0.146868446132,1.77730942171e-13,0.00422658118571
LOC105447914,-0.0815047351352,0.135540148118,3.54480376184e-14,0.00850237436893
LOC105447915,0.799721524532,0.14171382033,8.37868405976e-15,0.00693435450373
LOC105447916,NA,0.0415654532588,0.004642419459,0.00821996482853
LOC105447917,-0.321838586829,0.712339275111,2.62641738866e-14,0.0123546469593
LOC105447919,-0.201671813233,0.286983339977,4.77358947992e-15,0.00971910871043
LOC105447920,NA,0.473262610578,7.78168479206e-14,0.0110732287118
LOC105447921,-0.20167144232,0.0582866183498,4.93094761594e-15,0.0130511043308
LOC105447922,NA,0.0725750844748,0.00230285688323,0.00663130103922
LOC105447923,-28.9056769111,0.999999999984,0.070541688932,4.07596081195e-4
LOC105447924,NA,3.17435261678e-13,7.39432456106e-14,0.0163386950278
LOC105447925,0.500000022723,0.374270037134,0.0032130225318,0.008174334259
LOC105447926,NA,0.139088392811,4.61916427232e-14,0.00835309296168
LOC105447928,0.347825305952,0.302165123483,3.66892807908e-4,0.00821443109219
LOC105447929,0.0386622314581,0.130651405424,5.1847477184e-14,0.0141185989305
LOC105447930,NA,0.0835554122489,1.2504235146500001e-14,0.0140467544446
LOC105447931,NA,0.19755316897,5.56794487972e-14,0.0128392309279
LOC105447932,NA,0.356561599779,1.038711669e-13,0.00544840775293
LOC105447933,0.571428513294,0.334895106815,0.00628784850601,0.00803793522296
LOC105447934,NA,0.0980566044833,0.00851959280559,0.00515631946875
LOC105447935,0.799721325253,0.236797739552,5.1088351239e-14,0.00756473593783
LOC105447936,NA,0.0229622024382,0.00934025875754,0.00922434341034
LOC105447937,0.282611707884,0.427168389075,2.21521043584e-4,0.00496000415395
LOC105447938,-0.384615115559,0.133335354787,0.0105305755174,0.0129093193873
LOC105447939,NA,0.881905022713,0.00197877505674,0.00978227851095
LOC105447941,NA,7.26211966345e-13,0.00596913316669,0.00444938471321
LOC105447942,0.511111297389,0.172800055361,0.0107960099818,0.00886901870536
LOC105447943,0.759665489159,0.0417646884154,9.30571787059e-14,0.00851070034279
LOC105447944,NA,0.618821034178,0.00659280270844,0.00710983453663
LOC105447945,-0.642851060389,0.415946717802,0.00154701419383,0.0156739960854
LOC105447947,0.999999999995,1.33055770868e-12,0.0166843122143,0.00608967500028
LOC105447948,NA,0.0496117316296,7.61846420344e-14,0.00833396753581
LOC105447949,NA,0.287222773847,4.25488635047e-15,0.0101982328763
LOC105447951,NA,0.165593791837,0.0129672502306,0.007848135178
LOC105447952,NA,0.0700416919954,7.84460767886e-14,0.0126641222325
